,{,},if,(,),then,else,while,ID,=,>,<,>=,<=,==,+,-,*,/,NUM,;
A,A ->  C,,,,,,,,,,,,,,,,,,,,
B,B ->  C,,B ->  E,,,,,B ->  F,B ->  G,,,,,,,,,,,,
C,C ->  { D },,,,,,,,,,,,,,,,,,,,
D,D ->  B D,D ->  ε,D ->  B D,,,,,D ->  B D,D ->  B D,,,,,,,,,,,,
E,,,E ->  if ( H ) then B else B,,,,,,,,,,,,,,,,,,
F,,,,,,,,F ->  while ( H ) B,,,,,,,,,,,,,
G,,,,,,,,,G ->  ID = J ;,,,,,,,,,,,,
H,,,,H ->  J I J,,,,,H ->  J I J,,,,,,,,,,,H ->  J I J,
I,,,,,,,,,,,I ->  >,I ->  <,I ->  >=,I ->  <=,I ->  ==,,,,,,
J,,,,J ->  L K,,,,,J ->  L K,,,,,,,,,,,J ->  L K,
K,,,,,K ->  ε,,,,,,K ->  ε,K ->  ε,K ->  ε,K ->  ε,K ->  ε,K ->  + L K,K ->  - L K,,,,K ->  ε
L:,,,,L ->  N  M,,,,,L ->  N  M,,,,,,,,,,,L ->  N  M,
M,,,,,M ->  ε,,,,,,M ->  ε,M ->  ε,M ->  ε,M ->  ε,M ->  ε,M ->  ε,M ->  ε,M ->  * N M,M ->  / N M,,M ->  ε
N,,,,N ->  ( J ),,,,,N ->  ID,,,,,,,,,,,N ->  NUM,
